cue,present,congruent,audio,img1,img2,img3,img4
bird,1,0,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\cat.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bird.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cat,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dog,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cow
dog,1,0,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\bird.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dog.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\chicken,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cat,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cow
dog,1,0,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\chicken.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dog.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cow,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\chicken,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cat
cat,1,1,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\cat.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dog,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cow,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bird
chicken,1,1,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\chicken.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\chicken.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dog,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bird,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cow
dog,1,1,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\dog.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dog.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\chicken,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cow,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bird
dog,1,1,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\dog.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dog.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bird,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cat,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cow
chicken,1,1,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\chicken.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\chicken.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cow,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cat,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bird
dog,0,0,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\bird.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cat,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\chicken,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bird,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cow
cow,1,1,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\cow.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cow.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bird,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\chicken,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cat
